username,product_name,review,rating
Muhammad,Sony MDR ZX110AP / Sony ZX110AP / ZX110AP / Extra Bass Headset,"Kualitas bagus, suara nya bagus seperti ada bass sedikit, tapi kabelnya 2 bergabung jadi 1 dan kurang panjang, saya sarankan headphone kabelnya minimal 2 meter dan cuma s...",5
Juli,Sony SRS-NB10 Wireless Neckband Speaker,"Terima kasih, paket sudah diterima dengan baik, kwalitas barang OK, seller responsif",5
Farid,Sony MDR ZX110AP / Sony ZX110AP / ZX110AP / Extra Bass Headset,"barang sudah sampai, semoga awet dan berfungsi baik",5
a***l,PlayStation 5 Console Covers Chroma Indigo CFI-ZCS2G11 Cover PS5,okeee,5
M***M,Sony DualSense PS5 Dual-Sense Chroma Indigo CFI-ZCT1G11 Stick PS 5,terimakasih barang ori dan normal,5
R***n,Sony Gran Turismo 7 Playstation 5 PS5,Barang bagus berjalan dengan normal,5
Y***i,Sony WI C100 Wireless In-Ear Headphones,"produk original, suara mantap, harga murah",5
Pak,Sony WH CH520 Wireless Headphones / WH-CH520 / WHCH520 / Sony WH-CH520,"hanya untuk iPhone ternyata, android tidak bisa",3
D***y,Sony Ghost of Tsushima DIRECTOR’S CUT Playstation 5 PS5,bd lepas dari pengait discnya. padahal barang baru. jadi selama di perjalanan bdnya pasti jalan-jalan 😭,3
Galuh,Sony Gran Turismo 7 Playstation 5 PS5,"Game balap terbaik dari playstation, pokonya mantap",5
Galuh,Stellar Blade PS5 Playstation 5,Barang sampai dengan selamat stellar blade is the best,5
Gazali,Sony WH CH520 Wireless Headphones / WH-CH520 / WHCH520 / Sony WH-CH520,suara bagus dan cocok di kuping kecil saya😜 sekoga awet sentosa ampe ancur,5
C***h,Sony ZV E10 Sony ZVE10 Mirrorless Camera Kit 16-50mm,"Packingan aman, rapih, sampai dengan selamat, hasil jepretan bagus",5
Hewynda,SONY ICD-UX570 Digital Voice Recorder with Built-in USB,it works recordernya.. sensitif banget.. suara agak jauh juga kerekam. keren,5
A***n,Sony WH CH520 Wireless Headphones / WH-CH520 / WHCH520 / Sony WH-CH520,"pengiriman satset dan produk sampai dengan selamat, sangat bagus for the price",5
Ficky,Sony Alpha a6400 / Sony a6400 / a6400 Mirrorless Camera Body Only,No defect dan originial. Serial number kamera langsung saya daftarkan ke website Sony.,5
B***i,DualSense Wireless Controller PS5 / Stik Wireless PS / Stick PS5,"barang sesuai pesanan, berfungsi dengan baik",5
M***d,DualSense Wireless Controller PS5 / Stik Wireless PS / Stick PS5,"aman semua, barang sesuai recommend deh",5
aditgodit,Sony WI C100 Wireless In-Ear Headphones,"Suara ok, barang bagus dan yg penting harga promo top markotop",5
Ilfandy,Sony SRS-NB10 Wireless Neckband Speaker,Produk berkualitas dan berfungsi dgn baik. Pairing ke smart tv jg gampang. Ringan dan nyaman di leher.,5
N***n,Sony MDR ZX110AP / Sony ZX110AP / ZX110AP / Extra Bass Headset,sampe nya cepet banget....semoga awet headphone nya,5
G***a,Sony WH CH520 Wireless Headphones / WH-CH520 / WHCH520 / Sony WH-CH520,"Kualitas audio bagus, headphone ga kegedean, pengiriman cepat 😊🙏",5
Y***n,SONY E 70-350mm F4.5-6.3 G OSS Lensa E-Mount APS-C / SEL70350G,"Sudah sampai ke Yogya dengan bagus, trims",5
J***e,Sony WF-C510 Truly WF C510 Wireless Earphone WFC510 Ear-phone Bluetooth C510,"Sesuai dengan deskripsi, pengiriman cepat. Suara akan lebih oke ketika sudah download app nya",5
Jannie,Sony MDR EX155AP / Sony EX155AP / MDR EX155AP / EX155AP Headphone,Sony mutu oknpengiriman cepat,5
M***d,Sony ZV E10 II Sony ZVE10 Mark II Mirrorless Camera Kit 16-50mm,"so far puas, hanya part yg dikirim kurang sesuai dengan deskripsi item, kurang rear cap lens dan e mount cap 🥲",4
Keyza,Sony MDR ZX110AP / Sony ZX110AP / ZX110AP / Extra Bass Headset,"Luar biasa. Buat ukurannya compact dan suaranya di mid-bass, kalo dipake denger lagu yang bassnya powerful kayak mejikuhibiniu gitu aga kurang, tapi kalo denger lagi EDM...",5
Fawas,Sony MDR ZX110AP / Sony ZX110AP / ZX110AP / Extra Bass Headset,manteb pokonya,5
Didit,Sony WH CH520 Wireless Headphones / WH-CH520 / WHCH520 / Sony WH-CH520,"packing aman, seller fast respond produk sesuai deskripsi, recommended seller",5
I***n,Sony 64GB SF-M Tough Series UHS-II SDXC Memory Card / 64 GB SF M Tough,"Berfungsi baik, semoga tahan lama",5
Steven,Sony MDR ZX110AP / Sony ZX110AP / ZX110AP / Extra Bass Headset,"Mantap, Bagus, Keren, Suara Jernih",5
Ilfandy,Sony MDR EX155AP / Sony EX155AP / MDR EX155AP / EX155AP Headphone,Produk berfungsi dgn sempurna,5
Hotman,Sony MDR ZX310AP / Sony ZX310AP / ZX310AP / Overbands Headset,"packing rusak, sisanya ok",4
Eko,Sony FE 16mm f1.8 G Lensa Sony 16 mm f/1.8 G Mirrorless Lens,Barang sampai tanpa lecet. aman sudah. 👌😉,5
